UMAP1,UMAP2,Hour,Arrest,Time_Period
10.830285,11.614802,12,True,Day (6AM-6PM)
7.650964,4.3860793,0,False,Night (6PM-6AM)
14.507039,0.23498787,21,False,Night (6PM-6AM)
10.210498,8.359097,8,True,Day (6AM-6PM)
10.78142,11.178076,12,False,Day (6AM-6PM)
14.995101,3.8052645,12,False,Day (6AM-6PM)
-2.8269868,3.0759993,23,True,Night (6PM-6AM)
-3.5013053,4.674577,17,False,Day (6AM-6PM)
14.793259,0.20663019,14,False,Day (6AM-6PM)
7.797942,3.9483128,0,False,Night (6PM-6AM)
11.329402,4.6993732,9,False,Day (6AM-6PM)
-3.7120519,7.5559897,22,False,Night (6PM-6AM)
15.56671,4.268456,22,False,Night (6PM-6AM)
9.768743,1.9634421,7,False,Day (6AM-6PM)
7.9518156,8.328629,8,False,Day (6AM-6PM)
11.599806,0.09960254,21,False,Night (6PM-6AM)
15.182536,3.9672477,16,False,Day (6AM-6PM)
11.6921015,0.038500786,14,False,Day (6AM-6PM)
12.935843,-0.43628398,16,False,Day (6AM-6PM)
-3.9278724,3.2292497,19,False,Night (6PM-6AM)
13.427724,8.618071,12,False,Day (6AM-6PM)
8.135515,9.322424,10,True,Day (6AM-6PM)
-3.405151,4.1792483,14,False,Day (6AM-6PM)
8.08475,1.5389856,7,False,Day (6AM-6PM)
12.189279,1.3339419,16,False,Day (6AM-6PM)
8.133057,9.196574,9,False,Day (6AM-6PM)
11.233016,5.065712,9,True,Day (6AM-6PM)
-1.1571581,5.3700852,3,False,Night (6PM-6AM)
-5.6340766,5.3499546,22,False,Night (6PM-6AM)
8.4155245,2.4049835,1,False,Night (6PM-6AM)
-2.8278031,6.942797,10,False,Day (6AM-6PM)
10.606551,4.2859,4,False,Night (6PM-6AM)
14.429547,1.9663118,16,False,Day (6AM-6PM)
-2.5458684,5.604364,1,False,Night (6PM-6AM)
-1.7140994,4.8522778,1,True,Night (6PM-6AM)
-4.6053147,8.329706,13,False,Day (6AM-6PM)
11.948037,2.7743201,20,False,Night (6PM-6AM)
10.932218,11.129397,20,False,Night (6PM-6AM)
8.489452,1.9870808,10,False,Day (6AM-6PM)
-5.4117746,5.0880384,20,False,Night (6PM-6AM)
9.445801,3.9748352,11,True,Day (6AM-6PM)
14.025743,3.2853446,17,False,Day (6AM-6PM)
15.234486,-0.062310312,23,False,Night (6PM-6AM)
8.003272,1.2738131,11,False,Day (6AM-6PM)
-4.938352,7.7186337,22,False,Night (6PM-6AM)
8.78006,9.755037,6,True,Day (6AM-6PM)
9.710355,8.031168,1,False,Night (6PM-6AM)
9.033846,8.958523,9,True,Day (6AM-6PM)
7.943189,8.429581,3,False,Night (6PM-6AM)
10.936219,10.363249,17,False,Day (6AM-6PM)
9.705151,4.382011,10,False,Day (6AM-6PM)
-2.2748523,4.5749745,3,False,Night (6PM-6AM)
12.792559,-0.49705026,20,True,Night (6PM-6AM)
8.79753,3.9679372,9,False,Day (6AM-6PM)
-5.252871,4.857849,15,False,Day (6AM-6PM)
14.8034315,4.265984,20,True,Night (6PM-6AM)
12.819132,9.003054,19,False,Night (6PM-6AM)
13.480659,8.758403,12,False,Day (6AM-6PM)
-5.093908,5.805283,12,False,Day (6AM-6PM)
11.2960615,11.978242,12,True,Day (6AM-6PM)
-4.4725814,8.26452,18,False,Night (6PM-6AM)
12.740339,-1.0704687,20,False,Night (6PM-6AM)
10.991644,1.2794061,12,False,Day (6AM-6PM)
14.304162,3.2079606,12,False,Day (6AM-6PM)
11.209464,4.4255157,7,False,Day (6AM-6PM)
9.583436,1.5252116,5,False,Night (6PM-6AM)
-4.9408283,5.9221506,22,False,Night (6PM-6AM)
9.54722,1.4049411,5,False,Night (6PM-6AM)
14.667481,6.1348534,14,False,Day (6AM-6PM)
-3.0456278,3.2993083,20,False,Night (6PM-6AM)
15.074299,-0.19540481,22,False,Night (6PM-6AM)
8.367303,5.940984,1,False,Night (6PM-6AM)
-1.5540061,7.7750893,2,False,Night (6PM-6AM)
10.215142,8.336106,11,False,Day (6AM-6PM)
